"NOTE: Please only add links to single cams here with single locations, rather than links to summaries or search pages.","Add aggregators to the aggregator sheet (see tabs below). Move dead cameras to ""Dead cameras"" sheet.",,"Add the iframe. Whatever is between ""<iframe"" and ""</iframe>""",
URL,Location,Live thumbnail (ustream only),Iframe Embed code,Notes
http://new.livestream.com/breakinglivenowdirect/sandycam,"Chelsea, Manhattan, NY",,,
http://www.ustream.tv/channel/atlantic-city-plugged-in,"Atlantic City, NJ",https://secure-static-cdn1.ustream.tv/livethumb/1_2331793_160x120_b.jpg,"<iframe width=""480"" height=""302"" src=""http://www.ustream.tv/embed/recorded/23394183?v=3"" scrolling=""no"" frameborder=""0"" style=""border: 0px none transparent;"">    </iframe>",
http://www.ustream.tv/channel/dc-hurricane,"Washington, D.C.",,"<iframe width=""480"" height=""302"" src=""http://www.ustream.tv/embed/12402532?v=3&amp;wmode=direct"" scrolling=""no"" frameborder=""0"" style=""border: 0px none transparent;"">    </iframe>",
http://www.ustream.tv/channel/hurricane-sandy,"New York City, NY",https://secure-static-cdn1.ustream.tv/livethumb/1_12420876_160x120_b.jpg,"<iframe width=""480"" height=""302"" src=""http://www.ustream.tv/embed/12420876?v=3&amp;wmode=direct"" scrolling=""no"" frameborder=""0"" style=""border: 0px none transparent;"">    </iframe>",
http://www.ustream.tv/channel/sandy-the-hurricane,"Wallingford, CT",https://secure-static-cdn1.ustream.tv/livethumb/1_12420106_160x120_b.jpg,"<iframe width=""480"" height=""302"" src=""http://www.ustream.tv/embed/12420106?v=3&amp;wmode=direct"" scrolling=""no"" frameborder=""0"" style=""border: 0px none transparent;"">    </iframe>",
http://www.ustream.tv/channel/hurricane-sandy-ac,"Mays Landing, NJ",https://secure-static-cdn1.ustream.tv/livethumb/1_12423918_160x120_b.jpg,"<iframe width=""480"" height=""302"" src=""http://www.ustream.tv/embed/12423918?v=3&amp;wmode=direct"" scrolling=""no"" frameborder=""0"" style=""border: 0px none transparent;"">    </iframe>",
http://www.ustream.tv/channel/live-hurricane-sandy-coverage,"Cape Hatteras, NC",https://secure-static-cdn1.ustream.tv/livethumb/1_12387882_160x120_b.jpg,"<iframe width=""480"" height=""392"" src=""http://www.ustream.tv/embed/12387882?v=3&amp;wmode=direct"" scrolling=""no"" frameborder=""0"" style=""border: 0px none transparent;"">    </iframe>",
http://www.ustream.tv/channel/hurricane-irene-lynn-ma,"Lynn, MA",https://secure-static-cdn1.ustream.tv/livethumb/1_9171900_160x120_b.jpg,"<iframe width=""480"" height=""302"" src=""http://www.ustream.tv/embed/9171900?v=3&amp;wmode=direct"" scrolling=""no"" frameborder=""0"" style=""border: 0px none transparent;"">    </iframe>",
http://www.ustream.tv/channel/hurricane-sandy-2012,"Rockaway Park, NY",,"<iframe width=""480"" height=""302"" src=""http://www.ustream.tv/embed/recorded/26442316?v=3&amp;wmode=direct"" scrolling=""no"" frameborder=""0"" style=""border: 0px none transparent;"">    </iframe>",
